
---------- Begin Simulation Statistics ----------
simSeconds                                   0.189237                       # Number of seconds simulated (Second)
simTicks                                 189236553500                       # Number of ticks simulated (Tick)
finalTick                                189236553500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   2911.43                       # Real time elapsed on the host (Second)
hostTickRate                                 64997886                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8642292                       # Number of bytes of host memory used (Byte)
simInsts                                    700000000                       # Number of instructions simulated (Count)
simOps                                     1282330659                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   240432                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     440448                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        378473108                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.540676                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.849537                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                      1431460964                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      635                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                     1395023024                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                1651081                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined            149130880                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined         235228118                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 131                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           377863861                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.691867                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.512331                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  60802651     16.09%     16.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  34340622      9.09%     25.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  40559648     10.73%     35.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  41462378     10.97%     46.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  40876220     10.82%     57.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  46553655     12.32%     70.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  53573265     14.18%     84.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                  40100149     10.61%     94.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                  19595273      5.19%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             377863861                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                29144070     82.86%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    146      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                     86      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    62      0.00%     82.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     82.86% # attempts to use FU when none available (Count)
